道路區塊,鄉鎮,路名1,路名2,起點路口,迄點路口,道路區塊總面積,路長,路寬,道路轄管,道路類型,投影面積,交通量,投影比例,申請路政,挖掘面積,平均溫度,強降雨,搶修案件,液化潛勢,管線衝突點,淺埋位置回報,埋深,埋深=0,埋深>0,埋深>0.3m且埋深<1.2m,PCI分數
TS000557,泰山區,明志路二段, ,明志路一段,明志路三段,16176.44,1287.9,12.6,市,路段,1.079801013,中,0.01%,16,388.46,11,6,,3,211,,中,7,2,7,81.41287
TS000558,泰山區,明志路一段, ,泰林路二段,公園路,11253.19,915,12.3,市,路段,0.006938532,中,0.00%,18,770.72,11,6,,3,373,,中,2,2,8,100
TS000564,泰山區,壽山路, ,壽山路,壽山路,9.4,33.6,0.3,區,路段,,低,0.00%,0,NULL,11,6,,3,NULL,,低,NULL,NULL,NULL,100
TS000565,泰山區,新五路一段, ,新五路一段,新五路一段,5249.27,349.2,15,市,路段,66.57372442,中,1.27%,0,NULL,11,6,,3,51,,低,16,NULL,NULL,94.10811
TS000566,泰山區,新五路一段, ,新五路一段,新五路一段,5144.98,349.6,14.7,市,路段,38.72652867,中,0.75%,1,12,11,6,,3,19,,低,12,NULL,2,92.7779
TS000567,泰山區,新五路一段, ,新五路一段,中港西路,546.37,11.1,49.2,市,路段,,高,0.00%,0,NULL,11,6,,3,8,,低,NULL,NULL,NULL,68.52728
TS000821,泰山區,橫窠雅路, ,橫窠雅路, ,300.02,31.1,9.6,市,路段,,中,0.00%,0,NULL,11,,,NULL,NULL,,低,NULL,NULL,NULL,100
TS000863,泰山區,壽山路, ,壽山路,壽山路,550.74,61.2,9,區,路段,0.165272757,中,0.03%,2,3.61,11,,,3,10,,低,4,NULL,1,71.21505
TS001239,泰山區,南林路, ,南林路,南林路,2738.28,373.1,7.3,區,路段,,低,0.00%,0,NULL,11,6,,NULL,2,,低,NULL,NULL,NULL,100
TS001272,泰山區,幸福路, ,泰林路一段,幸福路,818.79,67,12.2,區,路段,,中,0.00%,1,10,11,6,,3,NULL,,低,NULL,NULL,NULL,100
TS001274,泰山區,新五路二段, ,新五路二段,楓江路,3739.23,92.6,40.4,市,路段,26.30673443,高,0.70%,0,NULL,11,6,,3,6,,低,2,NULL,NULL,90.69139
TS001278,泰山區,明志路一段, ,明志路一段,泰林路二段,6642.89,520.5,12.8,市,路段,135.1578321,中,2.03%,10,684.35,11,6,,3,193,,低,21,NULL,2,85.39829
TW000032,淡水區,學府路, ,鄧公路,中正東路,2729.11,210.8,12.9,區,路段,0.129945101,中,0.00%,5,66.72,10,11,,NULL,306,,高,24,NULL,12,66.19655
TW000083,淡水區,北新路, ,中山北路一段,水碓街,1511.09,123.5,12.2,市,路段,,中,0.00%,2,4.6,10,11,,NULL,117,,低,NULL,NULL,1,20.74945
TW000103,淡水區,興仁路, ,北10,淡金路三段(淡金公路),3956.37,339.3,11.7,區,路段,0.897580274,中,0.02%,0,NULL,10,11,,NULL,59,,低,1,NULL,2,73.44377
TW000113,淡水區,中山北路一段, ,水碓街,大仁街,5624.95,304.7,18.5,市,路段,0.105549787,高,0.00%,9,664.88,10,11,4,NULL,316,,高,1,4,31,76.89523
TW000114,淡水區,北新路, ,水碓街,淡金路二段(登輝大道),11068,868.3,12.7,市,路段,,中,0.00%,4,1910.3,10,11,1,NULL,486,,中,NULL,NULL,9,58.98622
TW000723,淡水區,中山北路二段, ,濱海路一段,中山北路一段,10951.96,783.7,14,區,路段,,中,0.00%,14,3281.51,10,11,,NULL,145,,中,NULL,NULL,8,70.64368
TW000774,淡水區,中山北路三段, ,新市五路四段,中山北路二段,5603.85,521.7,10.7,區,路段,13.58064539,中,0.24%,1,2,10,11,,NULL,7,,低,7,NULL,2,93.20364
TW000791,淡水區,中山北路三段, ,淡金路三段(淡金公路),新市五路四段,1217.92,97.6,12.5,區,路段,,中,0.00%,0,NULL,10,11,,NULL,1,,低,NULL,NULL,NULL,100
TW000847,淡水區,鄧公路, ,學府路,淡金路一段(登輝大道),13995.16,1569.9,8.9,區,路段,0.006556838,中,0.00%,4,19604.08,10,11,4,NULL,182,,高,3,22,116,68.14568
TW000865,淡水區, , ,北10,北10,204.75,36.7,5.6,區,路段,3.910685341,低,1.91%,0,NULL,10,98,,NULL,4,,低,16,NULL,NULL,100
TW000868,淡水區,百拉卡公路, ,百拉卡公路,百拉卡公路,17027.25,2351.5,7.2,市,路段,2.507128123,低,0.01%,0,NULL,10,11,,NULL,NULL,,低,4,NULL,NULL,87.28598
TW000869,淡水區,大湖路, ,大湖路,大湖路,38.83,29,1.3,區,路段,,低,0.00%,0,NULL,10,98,,NULL,NULL,,低,NULL,NULL,NULL,100
TW000877,淡水區,北新路, ,北新路,北新路,1347.09,135,10,市,路段,9.281226324,中,0.69%,0,NULL,10,11,,NULL,1,,低,6,1,NULL,100
TW000928,淡水區, , ,淡金路(登輝大道),中正東路一段,1660.09,214.3,7.7,區,路段,,低,0.00%,4,49.63,10,11,1,NULL,49,,低,NULL,NULL,3,51.28926
TW001242,淡水區,北新路一段, ,淡金路一段(登輝大道),商工路,24814.4,2336.9,10.6,市,路段,42.23102018,中,0.17%,6,74.64,10,11,4,NULL,43,,高,11,NULL,15,78.79383
TW001269,淡水區,北新路二段, ,商工路, ,8720.76,798.7,10.9,市,路段,319.4476834,中,3.66%,1,95.49,10,11,5,NULL,27,,高,51,1,10,93.61724
TW001286,淡水區,北新路三段, , ,北新路三段,8066.6,757.6,10.6,市,路段,532.5616447,中,6.60%,1,0.96,10,11,,NULL,36,,中,71,1,5,86.30822
TW001303,淡水區,鄧公路, ,淡金路(登輝大道), ,18319.47,2789.2,6.6,區,路段,63.97557713,低,0.35%,4,9808.64,10,11,4,NULL,19,,低,7,NULL,4,77.00239
TW001320,淡水區,坪頂路, ,淡金路(登輝大道),稻香路,30068.7,3574.7,8.4,區,路段,155.7827129,中,0.52%,9,23178.96,10,11,6,NULL,290,,高,24,NULL,33,60.34944
TW001337,淡水區,稻香路, ,坪頂路,稻香路,10050.05,1259.2,8,區,路段,,低,0.00%,1,4,10,11,1,NULL,120,,中,NULL,NULL,6,96.3532
TW001354,淡水區, , ,北新路二段, ,27669.2,3597.2,7.7,區,路段,97.63704744,低,0.35%,8,45.2,10,11,,NULL,111,,高,38,NULL,12,61.89958
TW001371,淡水區, , , , ,4299.43,743.8,5.8,區,路段,,低,0.00%,0,NULL,10,11,1,NULL,13,,低,NULL,NULL,3,67.40199
TW001394,淡水區, , , ,稻香路,3286.07,459.2,7.2,區,路段,,低,0.00%,1,8.4,10,11,,NULL,60,,低,NULL,NULL,5,54.04729
TW001516,淡水區,商工路, ,淡金路二段(登輝大道),北新路一段,18650,2964.3,6.3,區,路段,9.251054668,低,0.05%,2,653.6,10,11,2,NULL,19,,低,7,NULL,4,72.2225
TW001627,淡水區,新林路, ,淡金路三段(淡金公路),新林路,29976.53,3708.7,8.1,區,路段,271.0696925,中,0.90%,5,30,10,11,1,NULL,6,,中,45,1,9,43.50406
TW001628,淡水區,新林路, ,新林路,新林路,4418.43,603.3,7.3,區,路段,11.85060016,低,0.27%,1,4107.6,10,11,,NULL,NULL,,低,4,NULL,NULL,92.03019
TW001629,淡水區, , , ,新興路,1555.19,231.1,6.7,區,路段,,低,0.00%,1,4107.6,10,11,,NULL,1,,低,NULL,NULL,NULL,100
TW001630,淡水區, , ,興仁路, ,21979.67,3278.3,6.7,區,路段,56.05741862,低,0.26%,3,23.08,10,98,1,NULL,19,,中,32,NULL,9,54.4279
